code,class,session,id
"data <- subset(data, select = -c(MergingCode, MeanZestimateAmount,     MeanRZestimateAmount, MeanRZestimateLowValueRange, MeanRZestimateHighValueRange,     Count))",data cleaning,11e21,1
"write.table(data, file = ""Analysis/Data/ZillowDataSetX"", sep = "","")",export,11e21,1
require(plyr),setup,219e20,1
require(dplyr),setup,219e20,1
require(data.table),setup,219e20,1
require(reshape2),setup,219e20,1
require(ggplot2),setup,219e20,1
require(qgraph),setup,219e20,1
require(RColorBrewer),setup,219e20,1
require(cluster),setup,219e20,1
"CNH <- ""/Volumes/NOAA_Data/CNH/""",setup,219e20,1
"FTL <- read.csv(paste(CNH, ""Data/Catch/FTL_2009-2013_w-o-c_samhouri.csv"",     sep = """"), stringsAsFactors = F, skip = 2)",import,219e20,1
"FTL <- head(FTL, -2)",exploratory,219e20,1
"spid <- read.csv(paste(CNH, ""Analysis/Metiers/data/spid.csv"",     sep = """"), stringsAsFactors = F)",import,219e20,1
"mgmt_grp <- dlply(spid, .(mgmt_grp))",data cleaning,219e20,1
mgmt_grp <- mgmt_grp[2:9],data cleaning,219e20,1
"m.vec <- rep(NA, nrow(FTL))",data cleaning,219e20,1
for (i in 1:length(mgmt_grp)) {,data cleaning,219e20,1
},data cleaning,219e20,1
m.vec[FTL$spid %in% mgmt_grp[[i]]$SPID] = names(mgmt_grp[i]),data cleaning,219e20,1
"tickets <- select(FTL, ftid, veid, year, spid, landed_wt, ppp,     grgroup, grid, tdate, pcid, ifq_landing, processorid, pargrp)",data cleaning,219e20,1
tickets$mgmt_grp <- m.vec,data cleaning,219e20,1
rm(FTL),data cleaning,219e20,1
by_trip <- data.table(tickets),exploratory,219e20,1
"setkey(by_trip, ftid)",data cleaning,219e20,1
"catch <- by_trip[, sum(landed_wt), by = c(""ftid"", ""mgmt_grp"")]",data cleaning,219e20,1
"total_catch <- dcast.data.table(catch, ftid ~ mgmt_grp, fun = sum)",data cleaning,219e20,1
prop_table <- as.data.frame(total_catch),exploratory,219e20,1
"prop_table[, 2:ncol(prop_table)] <- prop_table[, 2:ncol(prop_table)]/rowSums(prop_table[,     2:ncol(prop_table)])",exploratory,219e20,1
"pca_prop <- prcomp(prop_table[, 2:ncol(prop_table)], scale = T)",modeling,219e20,1
"npc <- length(which(summary(pca_prop)[[6]][3, ] <= 0.81))",modeling,219e20,1
"dat_setup <- pca_prop$x[, 1:npc]",modeling,219e20,1
row <- seq(1:nrow(dat_setup)),data cleaning,219e20,1
"dat_setup <- cbind(dat_setup, row)",data cleaning,219e20,1
"dat_setup <- dat_setup[sample(nrow(dat_setup)), ]",data cleaning,219e20,1
"dat_prop <- dat_setup[, 1:(ncol(dat_setup) - 1)]",data cleaning,219e20,1
max.clusts = 30,modeling,219e20,1
samples = 100,modeling,219e20,1
sampsize = 1000,modeling,219e20,1
"clust.dat.prop <- vector(""list"", length = max.clusts)",modeling,219e20,1
set.seed(2),setup,219e20,1
},modeling,219e20,1
rngR = TRUE),modeling,219e20,1
"sampsize = sampsize, keep.data = FALSE, pamLike = TRUE,",modeling,219e20,1
"clust.dat.prop[[i]] <- clara(dat_prop, i, stand = TRUE, samples = samples,",modeling,219e20,1
for (i in 1:max.clusts) {,modeling,219e20,1
"cat(i, ""..."")",modeling,219e20,1
"Sys.Date(), "".Rdata"", sep = """"))",export,219e20,1
"save(clust.dat.prop, file = paste(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/data/all_tickets/clustdatprop_"",",export,219e20,1
objectives <- vector(length = max.clusts),modeling,219e20,1
objectives[i] <- clust.dat.prop[[i]]$objective,modeling,219e20,1
},modeling,219e20,1
for (i in 1:max.clusts) {,modeling,219e20,1
asw <- vector(length = max.clusts),modeling,219e20,1
for (i in 2:max.clusts) {,modeling,219e20,1
},modeling,219e20,1
asw[i] <- clust.dat.prop[[i]]$silinfo$avg.width,modeling,219e20,1
"par(mfrow = c(1, 2), omi = c(0, 0, 0, 0))",communication,219e20,1
"plot(objectives, type = ""o"", pch = 19, cex = 0.35, bty = ""n"",     main = ""Objective function"", col = ""tomato1"")",communication,219e20,1
"points(8, objectives[8], lwd = 5, col = ""tomato4"")",communication,219e20,1
"plot(asw, type = ""o"", pch = 19, cex = 0.35, bty = ""n"", main = ""Silhouette Width"",     col = ""turquoise"")",communication,219e20,1
"points(8, asw[8], lwd = 5, col = ""turquoise4"")",communication,219e20,1
nodes = 8,communication,219e20,1
"clust_prop <- list(data_transform = ""prop"", cluster_sol = nodes,     objectives = objectives, asw = asw, clustering = clust.dat.prop[[nodes]]$clustering,     sampsize = sampsize, samples = samples, npc = npc)",modeling,219e20,1
"ind <- cbind(clust_prop$clustering, dat_setup[, ""row""])",modeling,219e20,1
"prop_table$c8[ind[, 2]] <- ind[, 1]",modeling,219e20,1
"mc <- select(prop_table, ftid, c8)",exploratory,219e20,1
"tickets <- merge(tickets, mc, by = ""ftid"")",data cleaning,219e20,1
"save(tickets, file = paste(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/data/all_tickets/tickets_"",",export,219e20,1
"save(prop_table, file = paste(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/data/all_tickets/prop_table_"",     Sys.Date(), "".Rdata"", sep = """"))",export,219e20,1
"save(clust_prop, file = paste(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/data/all_tickets/clust_prop_"",     Sys.Date(), "".Rdata"", sep = """"))",export,219e20,1
"setwd(""/Users/winterb/Research/gesture_categorization/new_paper_new_analyses/data/"")",setup,743e20,1
"d <- read.csv(""street_dice_task.csv"", stringsAsFactors = F)",import,743e20,1
table(d$question.order),exploratory,743e20,1
"d[d$dice.removal == ""removed dice before 1st prompt"", ]$dice.removal <- ""removed before 1st""",data cleaning,743e20,1
"d[d$dice.removal == ""removed dice before 1st task"", ]$dice.removal <- ""removed before 1st""",data cleaning,743e20,1
"d[d$dice.removal == ""removed dice before 2nd task"", ]$dice.removal <- ""removed dice before 2nd""",data cleaning,743e20,1
"table(d$question.order, d$dice.removal)",exploratory,743e20,1
"(xtab <- table(d$question.order, d$dice.removal)[1:2, 3:4])",exploratory,743e20,1
fisher.test(xtab),modeling,743e20,1
"quartz("""", 10, 7)",communication,743e20,1
"par(mai = c(2, 0, 1, 0))",communication,743e20,1
"plot(1, 1, type = ""n"", bty = ""n"", xaxt = ""n"", yaxt = ""n"", xlim = c(0,     2), ylim = c(0, 1), xaxs = ""i"", yaxs = ""i"", xlab = """", ylab = """")",communication,743e20,1
"axis(at = c(0.75, 1.45)[1], side = 1, labels = """", line = 2.5,     tick = F, font = 2, cex.axis = 5)",communication,743e20,1
"rect(xleft = 0.6, xright = 0.9, ybottom = 0, ytop = p1, col = ""darkred"",     border = F)",communication,743e20,1
"text(x = 0.75, y = p1 + 0.11, col = ""darkred"", labels = paste0(round(p1,     2) * 100, ""%""), font = 2, cex = 4.5)",communication,743e20,1
"text(x = 1.45, y = p2 + 0.11, col = ""darkred"", labels = paste0(round(p2,        2) * 100, ""%""), font = 2, cex = 4.5, xpd = NA)",communication,743e20,1
"rect(xleft = 1.3, xright = 1.6, ybottom = 0, ytop = p2, col = ""darkred"",     border = F)",communication,743e20,1
"data2 <- read.table(""Analysis/Data/data2"", sep = "","")",import,935e20,2
MainData <- data2,data cleaning,935e20,2
"write.table(MainData, file = ""Analysis/Data/MainData"", sep = "","")",export,935e20,2
rm(list = ls()),setup,935e20,2
"source(""./analysis/nursery_experiment_inundation/functions/newbinplot.R"")",setup,935e20,2
"source(""./analysis/nursery_experiment_inundation/functions/ranNorm.R"")",setup,935e20,2
"source(""./analysis/nursery_experiment_inundation/functions/newbinplot.R"")",setup,935e20,2
"install.packages(""iterators"", Sys.getenv(""R_LIBS_USER""), repos = ""https://cran.cnr.berkeley.edu/"")",setup,935e20,2
"install.packages(""foreign"", Sys.getenv(""R_LIBS_USER""), repos = ""https://cran.cnr.berkeley.edu/"")",setup,935e20,2
"install.packages(""foreach"", Sys.getenv(""R_LIBS_USER""), repos = ""https://cran.cnr.berkeley.edu/"")",setup,935e20,2
"install.packages(""doParallel"", Sys.getenv(""R_LIBS_USER""), repos = ""https://cran.cnr.berkeley.edu/"")",setup,935e20,2
"install.packages(""xtable"", Sys.getenv(""R_LIBS_USER""), repos = ""https://cran.cnr.berkeley.edu/"")",setup,935e20,2
"library(foreign, lib.loc = Sys.getenv(""R_LIBS_USER""))",setup,935e20,2
"library(foreach, lib.loc = Sys.getenv(""R_LIBS_USER""))",setup,935e20,2
"library(doParallel, lib.loc = Sys.getenv(""R_LIBS_USER""))",setup,935e20,2
"library(xtable, lib.loc = Sys.getenv(""R_LIBS_USER""))",setup,935e20,2
rm(list = ls()),setup,935e20,2
gc(),setup,935e20,2
set.seed(132),setup,935e20,2
ncores = 40,setup,935e20,2
"source(""bergan_cole_analysis.R"")",setup,935e20,2
"source(""bergan_tables.R"")",setup,935e20,2
library(neuroExpressoAnalysis),import,935e20,2
library(dplyr),import,935e20,2
library(viridis),import,935e20,2
library(reshape2),setup,935e20,2
library(ogbox),setup,935e20,2
library(scales),setup,935e20,2
library(gplots),setup,935e20,2
library(stringr),setup,935e20,2
library(magrittr),setup,935e20,2
library(pheatmap),setup,935e20,2
order = cellOrder %>% translatePublishable(),data cleaning,935e20,2
genes = mouseMarkerGenesCombined,data cleaning,935e20,2
"x = x[!grepl(pattern = ""(?!^Pyramidal$)Pyra"", x = names(x),",data cleaning,935e20,2
genes %<>% lapply(function(x) {,data cleaning,935e20,2
}),data cleaning,935e20,2
perl = TRUE)],data cleaning,935e20,2
return(x),data cleaning,935e20,2
genes %<>% lapply(function(x) {,data cleaning,935e20,2
"x[!grepl(pattern = ""Microglia_"", names(x))]",data cleaning,935e20,2
}),data cleaning,935e20,2
geneNames = names(genes),data cleaning,935e20,2
"out <- lapply(1:len(nm), function(j) {",data cleaning,935e20,2
"if (component2 == ""Pyramidal"") {",data cleaning,935e20,2
"print(paste(i, j))",data cleaning,935e20,2
"component1 = """"",data cleaning,935e20,2
"component1 = paste0(component1, ""_"")",data cleaning,935e20,2
}),data cleaning,935e20,2
return(out),data cleaning,935e20,2
nm = names(genes[[i]]),data cleaning,935e20,2
"genesMicroarray = lapply(1:len(genes), function(i) {",data cleaning,935e20,2
"nm = nm[nm %in% (n_expressoSamples %>% select(CellTypes,",data cleaning,935e20,2
]$V1 %>% unlist %>% as.char,data cleaning,935e20,2
component1 = names(genes[i]),data cleaning,935e20,2
"component1, ""PyramidalDeep/"", component2))",data cleaning,935e20,2
PyramidalDeep) %>% unlist %>% unique)],data cleaning,935e20,2
names(out) = nm,data cleaning,935e20,2
},data cleaning,935e20,2
component2 = names(genes[[i]][nm[j]]),data cleaning,935e20,2
"if (component1 == ""All_"") {",data cleaning,935e20,2
"scores = read.table(paste0(""analysis/01.SelectGenes/Quick/"",",data cleaning,935e20,2
"(scores %>% filter(V1 %in% genes[[i]][[nm[j]]]))[1:5,",data cleaning,935e20,2
},data cleaning,935e20,2
else {,data cleaning,935e20,2
"component1, ""CellTypes/"", component2))",data cleaning,935e20,2
}),data cleaning,935e20,2
},data cleaning,935e20,2
"scores = read.table(paste0(""analysis/01.SelectGenes/Quick/"",",data cleaning,935e20,2
names(genesMicroarray) = geneNames,data cleaning,935e20,2
}),data cleaning,935e20,2
"lapply(x, trimNAs)",data cleaning,935e20,2
"genesMicroarray = lapply(genesMicroarray, function(x) {",data cleaning,935e20,2
},import,935e20,2
"assertthat::are_equal(all(genes$Cortex[[i]] %in% scores$V1),",import,935e20,2
unlist %>% as.char,import,935e20,2
"(scores %>% filter(V1 %in% genes$Cortex[[i]]))[1:5, ]$V1 %>%",import,935e20,2
print(names(genes$Cortex[i])),import,935e20,2
}),import,935e20,2
"scores = read.table(paste0(""analysis/01.SelectGenes/QuickJustSingleCell//CellTypes/"",",import,935e20,2
"genesSingleCell = lapply(1:len(genes$Cortex), function(i) {",import,935e20,2
"if (names(genes$Cortex[i]) == ""Pyramidal"") {",import,935e20,2
else {,import,935e20,2
},import,935e20,2
"scores = read.table(paste0(""analysis/01.SelectGenes/QuickJustSingleCell//PyramidalDeep/"",",import,935e20,2
names(genes$Cortex[i]))),import,935e20,2
TRUE),import,935e20,2
names(genes$Cortex[i]))),import,935e20,2
names(genesSingleCell) = names(genes$Cortex),data cleaning,935e20,2
genesSingleCell %<>% lapply(trimNAs),data cleaning,935e20,2
"n_expressoExpr %<>% filter(!grepl(pattern = ""\\|"", Gene.Symbol))",data cleaning,935e20,2
"list[geneDat, exp] = n_expressoExpr %>% sepExpr",data cleaning,935e20,2
rn(exp) = geneDat$Gene.Symbol,data cleaning,935e20,2
design = n_expressoSamples,data cleaning,935e20,2
"dpylrFriendly = cbind(design, t(exp))",data cleaning,935e20,2
library(tidyverse),setup,3.7400000000000002e+22,1
mtcars %>% select(mpg),exploratory,3.7400000000000002e+22,1
"ggplot(mtcars, aes(mpg)) + geom_histogram()",exploratory,3.7400000000000002e+22,1
"setwd(""/Users/Aron/dropbox/Middle-Range Theorizing/Second Paper/"")",setup,311e20,3
library(gdata),setup,311e20,3
library(poweRlaw),setup,311e20,3
library(dunn.test),setup,311e20,3
"data <- read.csv(""middle_range_coding_v4_w_borrowing.csv"", header = TRUE,     replacement = ""Organization"")",import,311e20,3
"data <- data[data$Year > 1994, ]",data cleaning,311e20,3
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Indiidual"",     replacement = ""Organization"")",data cleaning,311e20,3
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Org$"",     replacement = ""Organization"")",data cleaning,311e20,3
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Firm"",     replacement = ""Organization"")",data cleaning,311e20,3
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Project"",     replacement = ""Group"")",data cleaning,311e20,3
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Group/Network"",     replacement = ""Network"")",data cleaning,311e20,3
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Organization/Network"",     replacement = ""Network"")",data cleaning,311e20,3
library(plyr),data cleaning,871e20,4
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Interorg"",     replacement = ""Network"")",data cleaning,311e20,3
library(reshape2),data cleaning,871e20,4
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Technical"",     replacement = ""Artifact"")",data cleaning,311e20,3
library(stringr),data cleaning,871e20,4
library(grid),not sure,871e20,4
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Database"",     replacement = ""Artifact"")",data cleaning,311e20,3
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Organization/Government/national level"",     replacement = ""Government"")",data cleaning,311e20,3
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Multilevel"",     replacement = ""Other"")",data cleaning,311e20,3
"data$Unit.of.Analysis <- gsub(data$Unit.of.Analysis, pattern = ""Online Auction"",     replacement = ""Other"")",data cleaning,311e20,3
"data$Treatment.of.IT <- gsub(data$Treatment.of.IT, pattern = ""Computational "",     replacement = ""Computational"")",data cleaning,311e20,3
library(gridExtra),communication,871e20,4
"data$Treatment.of.IT <- gsub(data$Treatment.of.IT, pattern = ""Tool "",     replacement = ""Tool"")",data cleaning,311e20,3
library(Rcpp),not sure,871e20,4
"data$Treatment.of.IT <- gsub(data$Treatment.of.IT, pattern = ""Nominal "",     replacement = ""Nominal"")",data cleaning,311e20,3
"data$Treatment.of.IT <- gsub(data$Treatment.of.IT, pattern = ""Proxy "",     replacement = ""Ensemble"")",data cleaning,311e20,3
"data$Treatment.of.IT <- gsub(data$Treatment.of.IT, pattern = ""Ensemble "",     replacement = ""Ensemble"")",data cleaning,311e20,3
"data$Classification..Exploitation.Exploration[data$Primary..outside.of.IS..or.Secondary..inside.of.IS..borrowing. ==     ""Secondary""] <- ""Exploitation""",data cleaning,311e20,3
"extending_total_cites <- subset(data$Total.Citations.by..ISI.Web.of.Science...SSCI.,     data$Classification..instantiation..modifying..or.extending ==         ""Extending"")",data cleaning,311e20,3
library(randomForest),setup,602e20,5
"modifying_total_cites <- subset(data$Total.Citations.by..ISI.Web.of.Science...SSCI.,         data$Classification..instantiation..modifying..or.extending ==    ""Modifying"")",data cleaning,311e20,3
library(caret),setup,602e20,5
library(doMC),setup,602e20,5
library(mmadsenr),setup,602e20,5
library(futile.logger),setup,602e20,5
library(dplyr),setup,602e20,5
library(ggthemes),setup,602e20,5
"instantiation_total_cites <- subset(data$Total.Citations.by..ISI.Web.of.Science...SSCI.,     data$Classification..instantiation..modifying..or.extending ==         ""Instantiation"")",data cleaning,311e20,3
"exploitation_total_cites <- subset(data$Total.Citations.by..ISI.Web.of.Science...SSCI.,     data$Classification..Exploitation.Exploration == ""Exploration"")",data cleaning,311e20,3
"exploration_total_cites <- subset(data$Total.Citations.by..ISI.Web.of.Science...SSCI.,     data$Classification..Exploitation.Exploration == ""Exploration"")",data cleaning,311e20,3
"instantiation_total_cites <- subset(instantiation_total_cites,     instantiation_total_cites != 0)",data cleaning,311e20,3
"modifying_total_cites <- subset(modifying_total_cites, modifying_total_cites !=     0)",data cleaning,311e20,3
library(ggplot2),communication,871e20,4
"extending_total_cites <- subset(extending_total_cites, extending_total_cites !=     0)",data cleaning,311e20,3
library(ascii),not sure,871e20,4
"hist(instantiation_total_cites, breaks = 50, ylim = c(0, 30),     xlim = c(0, 750))",exploratory,311e20,3
"hist(modifying_total_cites, breaks = 50, ylim = c(0, 30), xlim = c(0,     750))",exploratory,311e20,3
"hist(extending_total_cites, breaks = 50, ylim = c(0, 30), xlim = c(0,     750))",exploratory,311e20,3
"source(""powerAnalysis/lib.R"")",not sure,871e20,4
"wilcox.test(extending_total_cites, instantiation_total_cites,     probs = 0.05, alternative = c(""greater""))",exploratory,311e20,3
"wilcox.test(extending_total_cites, modifying_total_cites, probs = 0.05,     alternative = c(""greater""))",exploratory,311e20,3
"wilcox.test(instantiation_total_cites, modifying_total_cites,     probs = 0.05, alternative = c(""less""))",exploratory,311e20,3
"kInputPaths <- list(groundtruth = ""powerAnalysis/output_cluster_summaries_groundtruth.RData"",     Model = ""powerAnalysis/output_cluster_summaries_model.RData"",     Read = ""powerAnalysis/output_cluster_summaries_parzen.RData"")",import,871e20,4
log_instantiation_total_cites <- log(instantiation_total_cites),data cleaning,311e20,3
log_modifying_total_cites <- log(modifying_total_cites),data cleaning,311e20,3
log_extending_total_cites <- log(extending_total_cites),data cleaning,311e20,3
hist(log_instantiation_total_cites),exploratory,311e20,3
hist(log_modifying_total_cites),exploratory,311e20,3
hist(log_extending_total_cites),exploratory,311e20,3
length(log_instantiation_total_cites),exploratory,311e20,3
length(log_modifying_total_cites),exploratory,311e20,3
length(log_extending_total_cites),exploratory,311e20,3
"t.test(log_extending_total_cites, log_instantiation_total_cites,     var.equal = FALSE)",exploratory,311e20,3
"t.test(log_modifying_total_cites, log_instantiation_total_cites,     var.equal = FALSE)",exploratory,311e20,3
"t.test(log_modifying_total_cites, log_extending_total_cites,     data$Classification..instantiation..modifying..or.extending)",exploratory,311e20,3
a1 <- aov(data$Total.Citations.by..ISI.Web.of.Science...SSCI. ~,modeling,311e20,3
"log_file <- get_data_path(suffix = ""experiment-ctmixtures/equifinality-3"",     filename = ""biasedmodels-classification.log"")",modeling,602e20,5
"posthoc <- TukeyHSD(x = a1, data$Classification..instantiation..modifying..or.extending,     conf.level = 0.95)",evaluation,311e20,3
"data$Total.Citations.by..ISI.Web.of.Science...SSCI. <- subset(data$Total.Citations.by..ISI.Web.of.Science...SSCI.,     data$Total.Citations.by..ISI.Web.of.Science...SSCI. != ""-"")",data cleaning,311e20,3
"data$Total.Citations.by..ISI.Web.of.Science...SSCI. <- subset(data$Total.Citations.by..ISI.Web.of.Science...SSCI.,     data$Total.Citations.by..ISI.Web.of.Science...SSCI. != """")",data cleaning,311e20,3
a0 <- aov(log(data$Total.Citations.by..ISI.Web.of.Science...SSCI.) ~     data$Classification..instantiation..modifying..or.extending),modeling,311e20,3
"posthoc <- TukeyHSD(x = a0, ""data$Classification..instantiation..modifying..or.extending"",     conf.level = 0.95)",evaluation,311e20,3
"flog.appender(appender.file(log_file), name = ""cl"")",data cleaning,602e20,5
"extending_IS_cites <- subset(data$Information.Science...Library.Science.Citations..ISI.Web.of.Science...SSCI.,     data$Classification..instantiation..modifying..or.extending ==         ""Extending"")",data cleaning,311e20,3
"modifying_IS_cites <- subset(data$Information.Science...Library.Science.Citations..ISI.Web.of.Science...SSCI.,     data$Classification..instantiation..modifying..or.extending ==     data$Classification..instantiation..modifying..or.extending ==         ""Modifying"")",data cleaning,311e20,3
"instantiation_IS_cites <- subset(data$Information.Science...Library.Science.Citations..ISI.Web.of.Science...SSCI.,     data$Classification..instantiation..modifying..or.extending ==         ""Instantiation"")",data cleaning,311e20,3
"instantiation_IS_cites <- subset(instantiation_IS_cites, instantiation_IS_cites !=     0)",data cleaning,311e20,3
"modifying_IS_cites <- subset(modifying_IS_cites, modifying_IS_cites !=     0)",data cleaning,311e20,3
"extending_IS_cites <- subset(extending_IS_cites, extending_IS_cites !=     0)",data cleaning,311e20,3
"wilcox.test(extending_IS_cites, instantiation_IS_cites, probs = 0.05,     alternative = c(""greater""))",exploratory,311e20,3
"wilcox.test(extending_IS_cites, modifying_IS_cites, probs = 0.05,     alternative = c(""less""))",exploratory,311e20,3
"wilcox.test(instantiation_IS_cites, modifying_IS_cites, probs = 0.05,     alternative = c(""less""))",exploratory,311e20,3
log_instantiation_IS_cites <- log10(instantiation_IS_cites),data cleaning,311e20,3
log_modifying_IS_cites <- log10(modifying_IS_cites),data cleaning,311e20,3
log_extending_IS_cites <- log10(extending_IS_cites),data cleaning,311e20,3
sqrt_instantiation_IS_cites <- sqrt(instantiation_IS_cites),data cleaning,311e20,3
sqrt_modifying_IS_cites <- sqrt(modifying_IS_cites),data cleaning,311e20,3
sqrt_extending_IS_cites <- sqrt(extending_IS_cites),data cleaning,311e20,3
hist(log_instantiation_IS_cites),exploratory,311e20,3
hist(log_modifying_IS_cites),exploratory,311e20,3
hist(log_extending_IS_cites),exploratory,311e20,3
hist(sqrt_instantiation_IS_cites),exploratory,311e20,3
hist(sqrt_modifying_IS_cites),exploratory,311e20,3
hist(sqrt_extending_IS_cites),exploratory,311e20,3
"t.test(log_modifying_IS_cites, log_extending_IS_cites, var.equal = FALSE)",exploratory,311e20,3
library(plyr),setup,311e20,3
"data$Treatment.of.IT <- revalue(data$Treatment.of.IT, c(`Ensemble ` = ""Ensemble"",     `Tool ` = ""Tool"", `Computational ` = ""Computational"", `Nominal ` = ""Nominal"",     `Proxy ` = ""Proxy""))",data cleaning,311e20,3
oneway.test(data$Total.Citations.by..ISI.Web.of.Science...SSCI. ~     data$Treatment.of.IT),modeling,311e20,3
kruskal.test(data$Total.Citations.by..ISI.Web.of.Science...SSCI. ~     data$Treatment.of.IT),modeling,311e20,3
"model <- aov(data = data, formula = Total.Citations.by..ISI.Web.of.Science...SSCI. ~     Treatment.of.IT)",modeling,311e20,3
"TukeyHSD(model, which = ""Treatment.of.IT"", ordered = FALSE, conf.level = 0.95)",modeling,311e20,3
"data$Total.Citations.by..ISI.Web.of.Science...SSCI. <- mapvalues(data$Total.Citations.by..ISI.Web.of.Science...SSCI.,     NA, 1)",data cleaning,311e20,3
"data$Total.Citations.by..ISI.Web.of.Science...SSCI. <- mapvalues(data$Total.Citations.by..ISI.Web.of.Science...SSCI.,     0, 1)",data cleaning,311e20,3
a1 <- aov(data$Total.Citations.by..ISI.Web.of.Science...SSCI ~     data$Classification..Exploitation.Exploration),modeling,311e20,3
"posthoc1 <- TukeyHSD(x = a1, ""data$Classification..Exploitation.Exploration"",     conf.level = 0.95)",modeling,311e20,3
"mean(data$Total.Citations.by..ISI.Web.of.Science...SSCI[data$Unit.of.Analysis ==     ""Group""])",exploratory,311e20,3
"mean(data$Total.Citations.by..ISI.Web.of.Science...SSCI[data$Unit.of.Analysis ==     ""Artifact""])",exploratory,311e20,3
"mean(data$Total.Citations.by..ISI.Web.of.Science...SSCI[data$Unit.of.Analysis ==     ""Individual""])",exploratory,311e20,3
"mean(data$Total.Citations.by..ISI.Web.of.Science...SSCI[data$Unit.of.Analysis ==     ""Artifact""])",exploratory,311e20,3
"mean(data$Total.Citations.by..ISI.Web.of.Science...SSCI[data$Unit.of.Analysis ==     ""Market""])",exploratory,311e20,3
"mean(data$Total.Citations.by..ISI.Web.of.Science...SSCI[data$Unit.of.Analysis ==     ""Group""])",exploratory,311e20,3
"mean(data$Total.Citations.by..ISI.Web.of.Science...SSCI[data$Unit.of.Analysis ==     ""Individual""])",exploratory,311e20,3
"mean(data$Total.Citations.by..ISI.Web.of.Science...SSCI[data$Unit.of.Analysis ==     ""Market""])",exploratory,311e20,3
a2 <- aov(data$Information.Science...Library.Science.Citations..ISI.Web.of.Science...SSCI. ~     data$Treatment.of.IT),modeling,311e20,3
